id,ville,quartier,prix,surface,chambres,salles_bain,etage,ascenseur,parking,terrasse,type,lat,lng
0,Casablanca,Anfa,1009000,95,2,1,5,Yes,No,Yes,Appartement,33.601154,-7.617148
1,Casablanca,Maarif,2661000,163,3,2,3,Yes,Yes,Yes,Appartement,33.577779,-7.60575
2,Casablanca,Bourgogne,2282000,121,2,1,3,Yes,No,No,Appartement,33.579418,-7.606041
3,Meknès,Ismailia,1384000,174,3,2,2,Yes,No,No,Appartement,33.88615,-5.543363
4,Casablanca,Sidi Maarouf,3588000,340,4,3,3,Yes,Yes,Yes,Appartement,33.544165,-7.607952
5,Casablanca,Ain Sebaâ,1721000,113,3,2,4,Yes,No,No,Appartement,33.551431,-7.570981
6,Casablanca,Anfa,1153000,117,2,1,3,Yes,No,No,Appartement,33.599146,-7.621352
7,Casablanca,Palmier,1238000,44,1,1,4,Yes,No,Yes,Studio,33.586996,-7.600231
8,Casablanca,Anfa,935000,33,1,1,3,Yes,No,No,Studio,33.594201,-7.621603
9,Casablanca,CIL,816000,34,1,1,3,Yes,No,No,Studio,33.58578,-7.619276
10,Dar Bouazza,Dar Bouazza Centre,1867000,116,2,2,1,Yes,Yes,Yes,Appartement,33.471703,-7.766832
11,Casablanca,Maarif,1257000,57,1,1,2,Yes,Yes,Yes,Studio,33.589799,-7.612215
12,Casablanca,Anfa,1507000,65,2,2,3,Yes,Yes,Yes,Appartement,33.601673,-7.62269
13,Casablanca,Sidi Maarouf,1665000,77,2,2,3,Yes,Yes,Yes,Appartement,33.53476,-7.609176
14,Casablanca,Sidi Maarouf,626000,78,2,2,5,Yes,Yes,Yes,Appartement,33.541752,-7.609273
15,Marrakech,Palmeraie,889000,37,1,1,5,Yes,Yes,No,Studio,31.629145,-7.981622
16,Casablanca,Maarif,992000,35,1,1,2,Yes,No,No,Studio,33.588403,-7.611392
17,Casablanca,Palmier,1284000,52,1,1,1,Yes,No,No,Studio,33.582843,-7.604211
18,Marrakech,Hivernage,1004000,40,1,1,3,Yes,Yes,No,Studio,31.631126,-7.971244
19,Tanger,California,971000,68,2,1,5,Yes,No,No,Appartement,35.762882,-5.837462
20,Casablanca,Sidi Maarouf,1572000,52,1,1,1,Yes,No,Yes,Studio,33.541,-7.614938
21,Casablanca,Hay Hassani,1070000,102,2,1,5,Yes,No,Yes,Appartement,33.542223,-7.597162
22,Casablanca,Bourgogne,2658000,155,3,2,3,Yes,Yes,Yes,Appartement,33.575233,-7.601131
23,Casablanca,Maarif,2444000,126,2,1,3,Yes,No,No,Appartement,33.583669,-7.609561
24,Meknès,Ismailia,1426000,160,3,2,2,Yes,No,No,Appartement,33.8974,-5.554785
25,Casablanca,CIL,4157000,340,4,3,3,Yes,Yes,Yes,Appartement,33.590635,-7.615199
26,Casablanca,Gauthier,1624000,111,3,2,4,Yes,No,No,Appartement,33.58245,-7.606703
27,Casablanca,Bourgogne,1148000,100,2,1,3,Yes,No,No,Appartement,33.576506,-7.600902
28,Casablanca,Ain Sebaâ,1268000,49,1,1,4,Yes,No,Yes,Studio,33.556483,-7.554047
29,Casablanca,Sidi Maarouf,911000,37,1,1,3,Yes,No,No,Studio,33.54156,-7.606562
30,Casablanca,Gauthier,814000,32,1,1,3,Yes,No,No,Studio,33.577263,-7.600117
31,Dar Bouazza,Dar Bouazza Centre,1871000,138,2,2,1,Yes,Yes,Yes,Appartement,33.474093,-7.762917
32,Casablanca,Anfa,1177000,59,1,1,2,Yes,Yes,Yes,Studio,33.598763,-7.621279
33,Casablanca,CIL,1576000,75,2,2,3,Yes,Yes,Yes,Appartement,33.586199,-7.613007
34,Casablanca,Anfa,1934000,79,2,2,3,Yes,Yes,Yes,Appartement,33.602099,-7.617332
35,Casablanca,Gauthier,673000,88,2,2,5,Yes,Yes,Yes,Appartement,33.573568,-7.594517
36,Marrakech,M'Hamid,856000,33,1,1,5,Yes,Yes,No,Studio,31.629477,-7.981857
37,Casablanca,Bourgogne,998000,37,1,1,2,Yes,No,No,Studio,33.580212,-7.601184
